"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2019","234.09","246.28","249.61","231.15","121.75K","-4.85%"
"May 17, 2019","246.03","263.64","267.49","227.68","420.02K","-6.93%"
"May 16, 2019","264.36","246.61","278.35","242.87","609.53K","7.25%"
"May 15, 2019","246.48","216.59","248.48","216.39","275.09K","13.71%"
"May 14, 2019","216.77","194.85","219.67","194.01","314.94K","11.19%"
"May 13, 2019","194.95","188.25","203.02","186.01","245.11K","3.55%"
"May 12, 2019","188.26","191.27","200.82","184.09","271.65K","-1.91%"
"May 11, 2019","191.93","174.26","203.17","174.26","341.40K","10.21%"
"May 10, 2019","174.15","173.42","178.00","171.13","100.67K","0.46%"
"May 09, 2019","173.35","177.08","179.56","170.59","82.29K","-2.16%"
"May 08, 2019","177.17","176.47","179.28","171.00","115.03K","0.14%"
"May 07, 2019","176.92","181.59","191.04","176.17","157.16K","-2.60%"
"May 06, 2019","181.64","171.00","186.28","167.70","154.10K","6.22%"
"May 05, 2019","171.00","171.00","172.98","166.29","56.50K","0.06%"
"May 04, 2019","170.90","175.40","178.35","167.25","67.47K","-2.51%"
"May 03, 2019","175.30","168.93","180.94","167.87","162.63K","3.57%"
"May 02, 2019","169.25","167.67","170.59","167.08","46.66K","0.87%"
"May 01, 2019","167.79","170.50","172.80","166.18","86.35K","-1.64%"
"Apr 30, 2019","170.59","162.35","171.49","162.28","164.64K","5.14%"
"Apr 29, 2019","162.25","163.13","164.45","157.52","150.87K","-0.73%"
"Apr 28, 2019","163.45","162.79","166.40","161.74","121.43K","0.41%"
"Apr 27, 2019","162.79","160.99","165.35","159.30","107.04K","1.14%"
"Apr 26, 2019","160.96","154.54","162.50","151.48","220.28K","4.15%"
"Apr 25, 2019","154.54","166.52","167.34","149.12","238.90K","-7.33%"
"Apr 24, 2019","166.77","170.70","171.60","161.71","188.22K","-2.43%"
"Apr 23, 2019","170.93","172.27","178.33","169.46","194.39K","-0.78%"
"Apr 22, 2019","172.27","170.61","173.79","168.85","172.56K","1.08%"
"Apr 21, 2019","170.43","174.28","174.89","167.35","198.04K","-2.20%"
"Apr 20, 2019","174.27","174.60","178.00","171.62","106.90K","-0.19%"
"Apr 19, 2019","174.60","175.10","175.43","170.33","145.41K","-0.30%"
"Apr 18, 2019","175.13","167.50","177.20","167.26","291.87K","4.56%"
"Apr 17, 2019","167.50","167.44","169.07","165.65","130.42K","0.04%"
"Apr 16, 2019","167.44","160.33","168.42","159.50","181.69K","4.41%"
"Apr 15, 2019","160.37","169.39","170.39","156.61","224.87K","-5.15%"
"Apr 14, 2019","169.08","165.20","169.99","162.90","164.30K","2.35%"
"Apr 13, 2019","165.20","165.07","167.06","163.18","120.02K","-0.08%"
"Apr 12, 2019","165.34","165.59","168.38","160.24","136.68K","-0.16%"
"Apr 11, 2019","165.60","177.20","177.39","161.00","336.68K","-6.57%"
"Apr 10, 2019","177.25","176.80","186.30","169.54","417.74K","0.25%"
"Apr 09, 2019","176.80","181.43","181.66","175.59","243.26K","-2.72%"
"Apr 08, 2019","181.75","176.75","187.70","175.00","461.18K","2.94%"
"Apr 07, 2019","176.56","167.08","178.62","165.86","237.56K","5.68%"
"Apr 06, 2019","167.07","167.33","174.32","161.80","255.98K","0.00%"
"Apr 05, 2019","167.07","158.76","169.99","157.77","191.29K","5.30%"
"Apr 04, 2019","158.66","161.00","165.35","155.06","305.83K","-1.54%"
"Apr 03, 2019","161.14","165.52","179.86","152.31","820.60K","-2.71%"
"Apr 02, 2019","165.63","143.14","168.32","142.94","575.12K","15.42%"
"Apr 01, 2019","143.50","143.78","145.37","141.55","103.57K","-0.19%"
"Mar 31, 2019","143.78","144.62","144.68","142.69","59.91K","-0.60%"
"Mar 30, 2019","144.65","146.20","148.52","142.72","136.09K","-1.06%"
"Mar 29, 2019","146.20","140.27","146.32","140.00","154.47K","4.23%"
"Mar 28, 2019","140.26","141.65","141.65","139.47","59.67K","-0.97%"
